id,type,address,number,postal_code,municipality,province,location,public,available,hours,latitude,longitude
13.0,,Blvd. Fr. Roosevelt,24.0,7060.0,SOIGNIES,Hainaut,,Y,,,50.576959606529,4.06558136645
95.0,,Peperstraat,2.0,3300.0,TIENEN,Vlaams-Brabant,,Y,,,50.806808135467,4.937338945215
102.0,,Nieuwe Weg ,1.0,2070.0,ZWIJNDRECHT,Antwerpen,,Y,,,51.237047473545,4.319297216981
115.0,,Gemeenteplein,1.0,3798.0,Voeren  s Gravenvoeren,Limburg,,Y,,,50.759712588396,5.759799613506
117.0,,Sint-Pieterstraat ,20.0,3792.0,Sint-Pieters-Voeren,Limburg,,Y,,,50.737456414261,5.823393699631
118.0,,Kerkplein,1.0,3790.0,Moelingen,Limburg,,Y,,,50.756757422703,5.710434394754
119.0,,Gieveldstraat,,3793.0,Teuven,Limburg,,Y,,,50.759106625228,5.882885002063
120.0,,Kerkstraat,1.0,3790.0,VOEREN,Limburg,,Y,,,50.749407792813,5.812543745065
282.0,,Kempenarestraat,53.0,2860.0,Sint-Katelijne-Waver,Antwerpen,,Y,,,51.063036690961,4.520250663404
344.0,,Keienpoelweg,6.0,3300.0,Tienen,Vlaams-Brabant,,Y,,,50.794808287544,4.985907126677
346.0,,Avenue de Gaulle,2.0,7500.0,Tournai,Hainaut,,Y,,,50.605949015847,3.378442252954
349.0,,Haven 1968 Sint Annalaan ,1.0,9130.0,Kallo,Oost-Vlaanderen,,Y,,,51.286180178302,4.288339328155
379.0,,Omer Vanaudenhovelaan,48.0,3290.0,Diest,Vlaams-Brabant,,Y,,,50.984068727579,5.063812222827
381.0,,Pastorijstraat ,118.0,3300.0,Tienen,Vlaams-Brabant,,Y,,,50.803702283094,4.95553194776
389.0,,Kapelstraat,100.0,9100.0,Sint-Niklaas,Oost-Vlaanderen,,Y,,,51.153155393504,4.153508033675
404.0,,Wiemesmeerstraat ,105.0,3600.0,Genk,Limburg,,Y,,,50.969890151625,5.556243418509
409.0,,Vlasland,4.0,2260.0,Westerlo,Antwerpen,,Y,,,51.095797988165,4.871728590164
429.0,,Place des sports,1.0,1348.0,Louvain-la-Neuve,Brabant Wallon,,Y,,,50.670098644062,4.59994194312
450.0,,Lamorinierestraat,,2018.0,Antwerpen,Antwerpen,,Y,,,51.203291521709,4.420404464815
451.0,,Riderveldlaan,5.0,2018.0,Antwerpen,Antwerpen,,Y,,,51.189904590691,4.439297069069
458.0,,Erperheidestraat,2.0,3990.0,Peer,Limburg,,Y,,,51.128550819647,5.504264806166
468.0,,Zeypestraat,26.0,1910.0,Kampenhout,Vlaams-Brabant,,Y,,,50.946519142458,4.563041201124
469.0,,Bergtorfbroeklaan,,1910.0,Kampenhout,Vlaams-Brabant,,Y,,,50.930600893358,4.536353630972
470.0,,Kerkstraat,34.0,1910.0,Kampenhout,Vlaams-Brabant,,Y,,,50.941281333073,4.54807564828
471.0,,Steenweg op Zevendonk ,18.0,2300.0,Turnhout,Antwerpen,,Y,,,51.308489200337,4.947981864655
473.0,,Reep,1.0,9000.0,Gent,Oost-Vlaanderen,,Y,,,51.051905523544,3.729223973923
474.0,,Vlamingenstraat,83.0,3000.0,Leuven,Vlaams-Brabant,,Y,,,50.874268771556,4.701824982046
475.0,,Steenweg op Tielen ,51.0,2300.0,Turnhout,Antwerpen,,Y,,,51.301931534569,4.93508714481
517.0,,Nijverheidsstraat,7.0,2260.0,Westerlo,Antwerpen,,Y,,,51.133907610147,4.932083154531
568.0,,Nijverheidsstraat,9.0,2260.0,OEVEL,Antwerpen,,Y,,,51.134282155491,4.930505764173
592.0,,Avenue de la Joyeuse Entrée,,1040.0,Bruxelles,Bruxelles-Brussel,,Y,,,50.841077983813,4.385666622972
605.0,,Av. Salomé,2.0,1150.0,Bruxelles,Bruxelles-Brussel,,Y,,,50.830840915828,4.455296194393
606.0,,Groot Begijnhof,14.0,3000.0,Leuven,Vlaams-Brabant,,Y,,,50.871142279762,4.696401555415
612.0,,St. Pietersnieuwstraat ,23.0,9000.0,Gent,Oost-Vlaanderen,,Y,,,51.047708495077,3.727404681839
613.0,,St. Pietersnieuwstraat ,23.0,9000.0,Gent,Oost-Vlaanderen,,Y,,,51.047708495077,3.727404681839
614.0,,Boulevard de la Woluwe,58.0,1200.0,Bruxelles,Bruxelles-Brussel,,Y,,,50.84102291653,4.436208002472
620.0,,Rue de la Providence ,114.0,6030.0,Marchienne-au-Pont,Hainaut,,Y,,,50.41306297314,4.402117544972
630.0,,Quai de Willebroeck,35.0,1000.0,Bruxelles,Bruxelles-Brussel,,Y,,,50.863161199197,4.352267852217
631.0,,Koning Albert I  laan  ,8.0,8200.0,Brugge,West-Vlaanderen,,Y,,,51.196125932595,3.211061508959
633.0,,Molendreef ,8.0,2280.0,Grobbendonk,Antwerpen,,Y,,,51.163815833239,4.745138550524
734.0,,Daelemveld ,1002.0,3540.0,Herk-de-Stad,Limburg,,Y,,,50.947274452408,5.169176537484
739.0,,Kallo 3 ,3.0,9130.0,Kallo,Oost-Vlaanderen,,Y,,,51.216132781103,4.259351438032
740.0,,Nijverheidsstraat,15.0,2260.0,Oevel,Antwerpen,,Y,,,51.13681864512,4.922739260328
741.0,,Nijverheidsstraat,15.0,2260.0,OEVEL,Antwerpen,,Y,,,51.13681864512,4.922739260328
742.0,,Onkerzelestraat,280.0,9500.0,Geraardsbergen,Oost-Vlaanderen,,Y,,,50.791458166573,3.91802030798
744.0,,Parc Industriel,,4300.0,Waremme,Liège,,Y,,,50.689640353904,5.281211402694
745.0,,Chaussée Romaine,176.0,4300.0,WAREMME,Liège,,Y,,,50.692387675258,5.269508233885
747.0,,Markt Z/N ,,3980.0,Tessenderlo,Limburg,,Y,,,51.067862109395,5.088878157642
777.0,,Sporthalstraat,12.0,3300.0,Tienen,Vlaams-Brabant,,Y,,,50.819936156374,4.941976463456
778.0,,Reizegersstraat,81.0,3300.0,TIENEN,Vlaams-Brabant,,Y,,,50.802491265723,4.944523826681
784.0,,Koning Albertlaan ,1.0,9840.0,De,Oost-Vlaanderen,,Y,,,51.018414372121,4.556238029411
785.0,,Polderbos ,20.0,9840.0,De,Oost-Vlaanderen,,Y,,,51.2171,4.69357
789.0,,Boulevard Charlemagne ,,1000.0,Bruxelles,Bruxelles-Brussel,,Y,,,50.845226684891,4.382367668519
799.0,,Rue du Stade,,6762.0,Virton,Luxembourg,,Y,,,49.555664068454,5.515249856583
800.0,,A la Cour Marchal,8.0,6760.0,VIRTON,Luxembourg,,Y,,,49.565793503805,5.537247930438
801.0,,Rue Charles Magnette ,17.0,6760.0,VIRTON,Luxembourg,,Y,,,49.566847276672,5.531367941541
802.0,,Rue Bollinckx,352.0,1190.0,Bruxelles,Bruxelles-Brussel,,Y,,,50.809387560379,4.308617834145
811.0,,Spinnerijstraat,100.0,8530.0,Harelbeke,West-Vlaanderen,,Y,,,50.829977244525,3.299052381562
812.0,M5066A,Marnixlaan,13.0,1000.0,Bruxelles,Bruxelles-Brussel,,Y,,,50.838911263663,4.363563556393
814.0,,Havenlaan,,1000.0,Brussel,Bruxelles-Brussel,,Y,,,50.871912660304,4.355907908811
831.0,,Avenue du Général Jadot,11.0,1360.0,Perwez,Brabant Wallon,,Y,,,50.620218524998,4.80650606789
843.0,,Industriepark,3.0,3290.0,Diest,Vlaams-Brabant,,Y,,,50.965360922062,5.073504847871
862.0,,Avenue Circulaire,3.0,1180.0,Bruxelles,Bruxelles-Brussel,,Y,,,50.798745477013,4.35877841169
865.0,,Kasteelstraat ,3.0,9960.0,Assenede,Oost-Vlaanderen,,Y,,,51.226198482898,3.753591926654
867.0,,Voie de Liège ,33.0,4040.0,Herstal,Liège,,Y,,,50.667808330929,5.629101435481
873.0,,Rue Cardinal Mercier,100.0,7711.0,Dottignies,Hainaut,,Y,,,50.723518608475,3.303920674745
874.0,,Rue Père Damien ,2.0,7700.0,Mouscron,Hainaut,,Y,,,50.747275277035,3.236716109471
881.0,,Avenue Bouchout ,10.0,1020.0,Bruxelles,Bruxelles-Brussel,,Y,,,50.893194941288,4.337239854195
887.0,,Avenue Oscar Jespers,75.0,1200.0,Bruxelles,Bruxelles-Brussel,,Y,,,50.857911613238,4.442762902213
893.0,,Avenue Solvay ,81.0,1310.0,La hulpe,Brabant Wallon,,Y,,,50.738588180737,4.473743505997
896.0,,Hoogbul ,1.0,2250.0,Olen,Antwerpen,,Y,,,51.147636035992,4.877555521614
944.0,,Groenstraat,5.0,3980.0,Tessenderlo,Limburg,,Y,,,51.074701576063,5.092390237885
946.0,,Villa-Hermosa,1.0,1000.0,Brussel,Bruxelles-Brussel,,Y,,,50.842945431752,4.358913863245
947.0,,Jubelpark,10.0,1000.0,Brussel,Bruxelles-Brussel,,Y,,,50.839350768756,4.391718872074
950.0,,Guido Gezellestraat,1.0,8970.0,Poperinge,West-Vlaanderen,,Y,,,50.855500075875,2.727432919456
951.0,,Ouderdomseweg,3.0,8970.0,Poperinge,West-Vlaanderen,,Y,,,50.847525722742,2.739490188071
957.0,,Rue de la Spinette,37.0,5140.0,Sombreffe,Namur,,Y,,,50.488885627356,4.595059149244
962.0,,Rue Du Commerce,8.0,1400.0,Nivelles,Brabant Wallon,,Y,,,50.59114363072,4.364332260734
980.0,,Museumstraat,9.0,1000.0,Brussel,Bruxelles-Brussel,,Y,,,50.842141439599,4.358365100044
981.0,,Nelissenlaan ,13.0,3620.0,Lanaken,Limburg,,Y,,,50.838654190692,5.626569346351
982.0,,Berenhofstraat,12.0,3620.0,Veldwezelt,Limburg,,Y,,,50.865515382432,5.630467350423
983.0,,Biesweg,18.0,3620.0,LANAKEN,Limburg,,Y,,,50.885146973135,5.60713405982
984.0,,Populierenlaan,34.0,3620.0,Rekem,Limburg,,Y,,,50.923211207112,5.693290720551
985.0,,Kasteelstraat,32.0,3620.0,Neerharen,Limburg,,Y,,,50.907600205814,5.687545764115
986.0,,Maaseikersteenweg,55.0,3620.0,Gellik,Limburg,,Y,,,50.883503407651,5.671585530821
987.0,,Jan Rosierlaan,1.0,3620.0,Lanaken,Limburg,,Y,,,50.889113205899,5.652031388903
988.0,,Aan De Engelse hof,,3620.0,LANAKEN,Limburg,,Y,,,50.889554135754,5.656132506436
989.0,,Engelse Hof,,3620.0,LANAKEN,Limburg,,Y,,,50.889554135754,5.656132506436
993.0,,Poverstraat,75.0,1731.0,Asse,Vlaams-Brabant,,Y,,,50.892878692082,4.273650461935
994.0,,Provincieplein,1.0,3010.0,Leuven,Vlaams-Brabant,,Y,,,50.876609920932,4.716994298956
1008.0,,Gemeentestraat,41.0,2560.0,Nijlen,Antwerpen,,Y,,,51.161776600015,4.67375843072
1011.0,,Veldstraat,50.0,9840.0,De,Oost-Vlaanderen,,Y,,,51.15,4.21667
1015.0,,Pl. Pierre de Coubertin,1.0,1348.0,Louvain-la-Neuve,Brabant Wallon,,Y,,,50.670432265031,4.60654515493
1024.0,,Rue de Limbourg,79.0,4800.0,Verviers,Liège,,Y,,,50.601061685291,5.880557692554
1037.0,,Lieven Gevaertstraat,15.0,2950.0,Kapellen,Antwerpen,,Y,,,51.296860189781,4.434783581847
1039.0,,Rue Frères Taymans,28.0,1480.0,Tubize,Brabant Wallon,,Y,,,50.689529158197,4.205942515537
